pin,slack
dac_din_3_obuf/U0/U_IOPAD:E,
dac_din_3_obuf/U0/U_IOPAD:PAD,
JTAG_3/tms_pad_o_RNO:A,734
JTAG_3/tms_pad_o_RNO:B,609
JTAG_3/tms_pad_o_RNO:C,-638
JTAG_3/tms_pad_o_RNO:D,-871
JTAG_3/tms_pad_o_RNO:Y,-871
JTAG_3/un14_i_a2_1[3]:A,-485
JTAG_3/un14_i_a2_1[3]:B,-535
JTAG_3/un14_i_a2_1[3]:Y,-535
JTAG_3/TAP_state[2]:ADn,
JTAG_3/TAP_state[2]:ALn,
JTAG_3/TAP_state[2]:CLK,-614
JTAG_3/TAP_state[2]:D,-513
JTAG_3/TAP_state[2]:EN,
JTAG_3/TAP_state[2]:LAT,
JTAG_3/TAP_state[2]:Q,-614
JTAG_3/TAP_state[2]:SD,
JTAG_3/TAP_state[2]:SLn,
poh_clk_0_obuft/U0/U_IOOUTFF:A,
poh_clk_0_obuft/U0/U_IOOUTFF:Y,
ccu25_strobe_out_0_obuf/U0/U_IOENFF:A,
ccu25_strobe_out_0_obuf/U0/U_IOENFF:Y,
JTAG_3/next_TAP_state[4]:ADn,
JTAG_3/next_TAP_state[4]:ALn,
JTAG_3/next_TAP_state[4]:CLK,-605
JTAG_3/next_TAP_state[4]:D,570
JTAG_3/next_TAP_state[4]:EN,
JTAG_3/next_TAP_state[4]:LAT,
JTAG_3/next_TAP_state[4]:Q,-605
JTAG_3/next_TAP_state[4]:SD,
JTAG_3/next_TAP_state[4]:SLn,
hptdc_tck_2_obuf/U0/U_IOPAD:D,
hptdc_tck_2_obuf/U0/U_IOPAD:E,
hptdc_tck_2_obuf/U0/U_IOPAD:PAD,
JTAG_1/next_TAP_state_RNO[5]:A,-384
JTAG_1/next_TAP_state_RNO[5]:B,
JTAG_1/next_TAP_state_RNO[5]:Y,-384
hptdc_event_reset_1_obuft/U0/U_IOOUTFF:A,
hptdc_event_reset_1_obuft/U0/U_IOOUTFF:Y,
LDAC_bar_4_obuf/U0/U_IOOUTFF:A,
LDAC_bar_4_obuf/U0/U_IOOUTFF:Y,
JTAG_2/next_TAP_state_i_RNO[0]:A,688
JTAG_2/next_TAP_state_i_RNO[0]:Y,688
JTAG_1/next_TAP_state[4]:ADn,
JTAG_1/next_TAP_state[4]:ALn,
JTAG_1/next_TAP_state[4]:CLK,-605
JTAG_1/next_TAP_state[4]:D,570
JTAG_1/next_TAP_state[4]:EN,
JTAG_1/next_TAP_state[4]:LAT,
JTAG_1/next_TAP_state[4]:Q,-605
JTAG_1/next_TAP_state[4]:SD,
JTAG_1/next_TAP_state[4]:SLn,
JTAG_0/loop_counter[2]:ADn,
JTAG_0/loop_counter[2]:ALn,
JTAG_0/loop_counter[2]:CLK,-2066
JTAG_0/loop_counter[2]:D,-2184
JTAG_0/loop_counter[2]:EN,
JTAG_0/loop_counter[2]:LAT,
JTAG_0/loop_counter[2]:Q,-2066
JTAG_0/loop_counter[2]:SD,
JTAG_0/loop_counter[2]:SLn,
ccu25_data_2_obuft[4]/U0/U_IOENFF:A,
ccu25_data_2_obuft[4]/U0/U_IOENFF:Y,
hptdc_token_in_1_obuf/U0/U_IOOUTFF:A,
hptdc_token_in_1_obuf/U0/U_IOOUTFF:Y,
ccu25_data_3_obuft[3]/U0/U_IOPAD:D,
ccu25_data_3_obuft[3]/U0/U_IOPAD:E,
ccu25_data_3_obuft[3]/U0/U_IOPAD:PAD,
JTAG_3/next_TAP_state_srsts_0_a2[9]:A,726
JTAG_3/next_TAP_state_srsts_0_a2[9]:B,
JTAG_3/next_TAP_state_srsts_0_a2[9]:Y,726
ccu25_data_0_obuft[3]/U0/U_IOPAD:D,
ccu25_data_0_obuft[3]/U0/U_IOPAD:E,
ccu25_data_0_obuft[3]/U0/U_IOPAD:PAD,
SClock_1_obuf/U0/U_IOENFF:A,
SClock_1_obuf/U0/U_IOENFF:Y,
ccu25_data_2_obuft[4]/U0/U_IOPAD:D,
ccu25_data_2_obuft[4]/U0/U_IOPAD:E,
ccu25_data_2_obuft[4]/U0/U_IOPAD:PAD,
ccu25_data_3_obuft[7]/U0/U_IOOUTFF:A,
ccu25_data_3_obuft[7]/U0/U_IOOUTFF:Y,
DACController_0/un2_sclock_counter_1lto14:A,-513
DACController_0/un2_sclock_counter_1lto14:B,-2934
DACController_0/un2_sclock_counter_1lto14:C,-657
DACController_0/un2_sclock_counter_1lto14:D,-767
DACController_0/un2_sclock_counter_1lto14:Y,-2934
JTAG_2/next_TAP_state_srsts_0[7]:A,
JTAG_2/next_TAP_state_srsts_0[7]:B,621
JTAG_2/next_TAP_state_srsts_0[7]:C,570
JTAG_2/next_TAP_state_srsts_0[7]:D,-717
JTAG_2/next_TAP_state_srsts_0[7]:Y,-717
poh_clk_2_obuft/U0/U_IOENFF:A,
poh_clk_2_obuft/U0/U_IOENFF:Y,
JTAG_0/next_TAP_state_i_RNO[0]:A,688
JTAG_0/next_TAP_state_i_RNO[0]:Y,688
ccu25_data_1_obuft[6]/U0/U_IOENFF:A,
ccu25_data_1_obuft[6]/U0/U_IOENFF:Y,
JTAG_3/loop_counterc_1:A,672
JTAG_3/loop_counterc_1:B,609
JTAG_3/loop_counterc_1:C,-601
JTAG_3/loop_counterc_1:D,-2184
JTAG_3/loop_counterc_1:Y,-2184
hptdc_tms_2_obuf/U0/U_IOENFF:A,
hptdc_tms_2_obuf/U0/U_IOENFF:Y,
hptdc_serial_in_3_obuft/U0/U_IOENFF:A,
hptdc_serial_in_3_obuft/U0/U_IOENFF:Y,
hptdc_serial_bypass_in_3_obuft/U0/U_IOENFF:A,
hptdc_serial_bypass_in_3_obuft/U0/U_IOENFF:Y,
JTAG_0/TAP_state_RNO[0]:A,719
JTAG_0/TAP_state_RNO[0]:B,-440
JTAG_0/TAP_state_RNO[0]:C,536
JTAG_0/TAP_state_RNO[0]:D,497
JTAG_0/TAP_state_RNO[0]:Y,-440
JTAG_1/next_TAP_state_srsts_0_a2[4]:A,
JTAG_1/next_TAP_state_srsts_0_a2[4]:B,624
JTAG_1/next_TAP_state_srsts_0_a2[4]:C,570
JTAG_1/next_TAP_state_srsts_0_a2[4]:Y,570
dac_sclk_2_obuf/U0/U_IOENFF:A,
dac_sclk_2_obuf/U0/U_IOENFF:Y,
JTAG_2/next_TAP_state_i[0]:ADn,
JTAG_2/next_TAP_state_i[0]:ALn,
JTAG_2/next_TAP_state_i[0]:CLK,536
JTAG_2/next_TAP_state_i[0]:D,688
JTAG_2/next_TAP_state_i[0]:EN,
JTAG_2/next_TAP_state_i[0]:LAT,
JTAG_2/next_TAP_state_i[0]:Q,536
JTAG_2/next_TAP_state_i[0]:SD,
JTAG_2/next_TAP_state_i[0]:SLn,
JTAG_1/loop_counterc_1_RNO:A,-434
JTAG_1/loop_counterc_1_RNO:B,-483
JTAG_1/loop_counterc_1_RNO:Y,-483
JTAG_1/tdo_pad_o_1:A,750
JTAG_1/tdo_pad_o_1:B,640
JTAG_1/tdo_pad_o_1:C,593
JTAG_1/tdo_pad_o_1:D,-614
JTAG_1/tdo_pad_o_1:Y,-614
ccu25_data_0_obuft[6]/U0/U_IOENFF:A,
ccu25_data_0_obuft[6]/U0/U_IOENFF:Y,
DIN_3_obuf/U0/U_IOOUTFF:A,
DIN_3_obuf/U0/U_IOOUTFF:Y,
DACController_0/un2_sclock_counterlto14_RNILM26:A,-2055
DACController_0/un2_sclock_counterlto14_RNILM26:B,434
DACController_0/un2_sclock_counterlto14_RNILM26:Y,-2055
LDAC_bar_5_obuf/U0/U_IOOUTFF:A,
LDAC_bar_5_obuf/U0/U_IOOUTFF:Y,
BiasController_0/sclock_counter_s_800_CC_0:CC[0],
BiasController_0/sclock_counter_s_800_CC_0:CC[10],-414
BiasController_0/sclock_counter_s_800_CC_0:CC[11],-486
BiasController_0/sclock_counter_s_800_CC_0:CC[1],186
BiasController_0/sclock_counter_s_800_CC_0:CC[2],112
BiasController_0/sclock_counter_s_800_CC_0:CC[3],-210
BiasController_0/sclock_counter_s_800_CC_0:CC[4],-290
BiasController_0/sclock_counter_s_800_CC_0:CC[5],-349
BiasController_0/sclock_counter_s_800_CC_0:CC[6],-250
BiasController_0/sclock_counter_s_800_CC_0:CC[7],-358
BiasController_0/sclock_counter_s_800_CC_0:CC[8],-429
BiasController_0/sclock_counter_s_800_CC_0:CC[9],-315
BiasController_0/sclock_counter_s_800_CC_0:CI,
BiasController_0/sclock_counter_s_800_CC_0:CO,-526
BiasController_0/sclock_counter_s_800_CC_0:P[0],-475
BiasController_0/sclock_counter_s_800_CC_0:P[10],
BiasController_0/sclock_counter_s_800_CC_0:P[11],
BiasController_0/sclock_counter_s_800_CC_0:P[1],-526
BiasController_0/sclock_counter_s_800_CC_0:P[2],-310
BiasController_0/sclock_counter_s_800_CC_0:P[3],-340
BiasController_0/sclock_counter_s_800_CC_0:P[4],
BiasController_0/sclock_counter_s_800_CC_0:P[5],
BiasController_0/sclock_counter_s_800_CC_0:P[6],-342
BiasController_0/sclock_counter_s_800_CC_0:P[7],-283
BiasController_0/sclock_counter_s_800_CC_0:P[8],-200
BiasController_0/sclock_counter_s_800_CC_0:P[9],-217
BiasController_0/sclock_counter_s_800_CC_0:UB[0],
BiasController_0/sclock_counter_s_800_CC_0:UB[10],
BiasController_0/sclock_counter_s_800_CC_0:UB[11],
BiasController_0/sclock_counter_s_800_CC_0:UB[1],
BiasController_0/sclock_counter_s_800_CC_0:UB[2],
BiasController_0/sclock_counter_s_800_CC_0:UB[3],
BiasController_0/sclock_counter_s_800_CC_0:UB[4],
BiasController_0/sclock_counter_s_800_CC_0:UB[5],
BiasController_0/sclock_counter_s_800_CC_0:UB[6],
BiasController_0/sclock_counter_s_800_CC_0:UB[7],
BiasController_0/sclock_counter_s_800_CC_0:UB[8],
BiasController_0/sclock_counter_s_800_CC_0:UB[9],
BiasController_0/sclock_counter_cry[20]:A,
BiasController_0/sclock_counter_cry[20]:B,478
BiasController_0/sclock_counter_cry[20]:C,
BiasController_0/sclock_counter_cry[20]:CC,-486
BiasController_0/sclock_counter_cry[20]:D,
BiasController_0/sclock_counter_cry[20]:P,
BiasController_0/sclock_counter_cry[20]:S,-486
BiasController_0/sclock_counter_cry[20]:UB,
hptdc_tck_0_obuf/U0/U_IOPAD:D,
hptdc_tck_0_obuf/U0/U_IOPAD:E,
hptdc_tck_0_obuf/U0/U_IOPAD:PAD,
ccu25_strobe_out_2_obuf/U0/U_IOOUTFF:A,
ccu25_strobe_out_2_obuf/U0/U_IOOUTFF:Y,
dac_sync_1_obuf/U0/U_IOENFF:A,
dac_sync_1_obuf/U0/U_IOENFF:Y,
DACController_0/un2_sclock_counter_1lto8:A,-2672
DACController_0/un2_sclock_counter_1lto8:B,-2736
DACController_0/un2_sclock_counter_1lto8:C,-2824
DACController_0/un2_sclock_counter_1lto8:D,-2934
DACController_0/un2_sclock_counter_1lto8:Y,-2934
pbpd_obuft[2]/U0/U_IOOUTFF:A,
pbpd_obuft[2]/U0/U_IOOUTFF:Y,
dac_sync_2_obuf/U0/U_IOPAD:D,
dac_sync_2_obuf/U0/U_IOPAD:E,
dac_sync_2_obuf/U0/U_IOPAD:PAD,
ccu25_data_0_obuft[1]/U0/U_IOOUTFF:A,
ccu25_data_0_obuft[1]/U0/U_IOOUTFF:Y,
hptdc_trigger_1_obuft/U0/U_IOENFF:A,
hptdc_trigger_1_obuft/U0/U_IOENFF:Y,
SClock_0_obuf/U0/U_IOPAD:D,
SClock_0_obuf/U0/U_IOPAD:E,
SClock_0_obuf/U0/U_IOPAD:PAD,
ccu25_data_0_obuft[4]/U0/U_IOPAD:D,
ccu25_data_0_obuft[4]/U0/U_IOPAD:E,
ccu25_data_0_obuft[4]/U0/U_IOPAD:PAD,
ccu25_data_0_obuft[2]/U0/U_IOPAD:D,
ccu25_data_0_obuft[2]/U0/U_IOPAD:E,
ccu25_data_0_obuft[2]/U0/U_IOPAD:PAD,
JTAG_2/TAP_state[1]:ADn,
JTAG_2/TAP_state[1]:ALn,
JTAG_2/TAP_state[1]:CLK,640
JTAG_2/TAP_state[1]:D,-625
JTAG_2/TAP_state[1]:EN,
JTAG_2/TAP_state[1]:LAT,
JTAG_2/TAP_state[1]:Q,640
JTAG_2/TAP_state[1]:SD,
JTAG_2/TAP_state[1]:SLn,
ccu25_data_1_obuft[1]/U0/U_IOENFF:A,
ccu25_data_1_obuft[1]/U0/U_IOENFF:Y,
hptdc_serial_in_2_obuft/U0/U_IOOUTFF:A,
hptdc_serial_in_2_obuft/U0/U_IOOUTFF:Y,
JTAG_0/tdo_pad_o:ADn,
JTAG_0/tdo_pad_o:ALn,
JTAG_0/tdo_pad_o:CLK,593
JTAG_0/tdo_pad_o:D,-614
JTAG_0/tdo_pad_o:EN,
JTAG_0/tdo_pad_o:LAT,
JTAG_0/tdo_pad_o:Q,593
JTAG_0/tdo_pad_o:SD,
JTAG_0/tdo_pad_o:SLn,
DACController_0/sclock_counter_cry[17]:A,
DACController_0/sclock_counter_cry[17]:B,478
DACController_0/sclock_counter_cry[17]:C,
DACController_0/sclock_counter_cry[17]:CC,-526
DACController_0/sclock_counter_cry[17]:D,
DACController_0/sclock_counter_cry[17]:P,
DACController_0/sclock_counter_cry[17]:S,-526
DACController_0/sclock_counter_cry[17]:UB,
poh_data_3_obuf/U0/U_IOENFF:A,
poh_data_3_obuf/U0/U_IOENFF:Y,
hptdc_trstn_0_obuf/U0/U_IOENFF:A,
hptdc_trstn_0_obuf/U0/U_IOENFF:Y,
ccu25_data_2_obuft[6]/U0/U_IOOUTFF:A,
ccu25_data_2_obuft[6]/U0/U_IOOUTFF:Y,
ccu25_data_1_obuft[0]/U0/U_IOENFF:A,
ccu25_data_1_obuft[0]/U0/U_IOENFF:Y,
hptdc_token_bypass_in_2_obuft/U0/U_IOENFF:A,
hptdc_token_bypass_in_2_obuft/U0/U_IOENFF:Y,
ccu25_data_2_obuft[7]/U0/U_IOPAD:D,
ccu25_data_2_obuft[7]/U0/U_IOPAD:E,
ccu25_data_2_obuft[7]/U0/U_IOPAD:PAD,
hptdc_token_bypass_in_0_obuft/U0/U_IOENFF:A,
hptdc_token_bypass_in_0_obuft/U0/U_IOENFF:Y,
JTAG_2/next_TAP_state_RNO[2]:A,
JTAG_2/next_TAP_state_RNO[2]:B,636
JTAG_2/next_TAP_state_RNO[2]:C,570
JTAG_2/next_TAP_state_RNO[2]:Y,570
dac_sclk_2_obuf/U0/U_IOPAD:D,
dac_sclk_2_obuf/U0/U_IOPAD:E,
dac_sclk_2_obuf/U0/U_IOPAD:PAD,
ccu25_data_1_obuft[5]/U0/U_IOPAD:D,
ccu25_data_1_obuft[5]/U0/U_IOPAD:E,
ccu25_data_1_obuft[5]/U0/U_IOPAD:PAD,
ccu25_data_0_obuft[5]/U0/U_IOPAD:D,
ccu25_data_0_obuft[5]/U0/U_IOPAD:E,
ccu25_data_0_obuft[5]/U0/U_IOPAD:PAD,
JTAG_3/next_TAP_state_srsts_0_a2[10]:A,742
JTAG_3/next_TAP_state_srsts_0_a2[10]:B,
JTAG_3/next_TAP_state_srsts_0_a2[10]:Y,742
JTAG_0/TAP_state[0]:ADn,
JTAG_0/TAP_state[0]:ALn,
JTAG_0/TAP_state[0]:CLK,-564
JTAG_0/TAP_state[0]:D,-440
JTAG_0/TAP_state[0]:EN,
JTAG_0/TAP_state[0]:LAT,
JTAG_0/TAP_state[0]:Q,-564
JTAG_0/TAP_state[0]:SD,
JTAG_0/TAP_state[0]:SLn,
hptdc_tms_1_obuf/U0/U_IOPAD:D,
hptdc_tms_1_obuf/U0/U_IOPAD:E,
hptdc_tms_1_obuf/U0/U_IOPAD:PAD,
ccu25_data_1_obuft[7]/U0/U_IOENFF:A,
ccu25_data_1_obuft[7]/U0/U_IOENFF:Y,
DACController_0/sclock_counter[27]:ADn,
DACController_0/sclock_counter[27]:ALn,
DACController_0/sclock_counter[27]:CLK,494
DACController_0/sclock_counter[27]:D,-290
DACController_0/sclock_counter[27]:EN,
DACController_0/sclock_counter[27]:LAT,
DACController_0/sclock_counter[27]:Q,494
DACController_0/sclock_counter[27]:SD,
DACController_0/sclock_counter[27]:SLn,-2055
BiasController_0/sclock_counter_cry[22]:A,
BiasController_0/sclock_counter_cry[22]:B,-217
BiasController_0/sclock_counter_cry[22]:C,
BiasController_0/sclock_counter_cry[22]:CC,-315
BiasController_0/sclock_counter_cry[22]:D,
BiasController_0/sclock_counter_cry[22]:P,-217
BiasController_0/sclock_counter_cry[22]:S,-315
BiasController_0/sclock_counter_cry[22]:UB,
DACController_0/un2_sclock_counter_1lto14_1:A,-1584
DACController_0/un2_sclock_counter_1lto14_1:B,-2934
DACController_0/un2_sclock_counter_1lto14_1:C,-1728
DACController_0/un2_sclock_counter_1lto14_1:D,-1820
DACController_0/un2_sclock_counter_1lto14_1:Y,-2934
JTAG_2/tms_pad_o_6_i_a7_0:A,-1937
JTAG_2/tms_pad_o_6_i_a7_0:B,-1981
JTAG_2/tms_pad_o_6_i_a7_0:C,-2066
JTAG_2/tms_pad_o_6_i_a7_0:D,-2184
JTAG_2/tms_pad_o_6_i_a7_0:Y,-2184
BiasController_0/sclock_counter_cry[26]:A,
BiasController_0/sclock_counter_cry[26]:B,486
BiasController_0/sclock_counter_cry[26]:C,
BiasController_0/sclock_counter_cry[26]:CC,-349
BiasController_0/sclock_counter_cry[26]:D,
BiasController_0/sclock_counter_cry[26]:P,
BiasController_0/sclock_counter_cry[26]:S,-349
BiasController_0/sclock_counter_cry[26]:UB,
pbpd_obuft[7]/U0/U_IOENFF:A,
pbpd_obuft[7]/U0/U_IOENFF:Y,
DACController_0/un1_sclock_counter15_5:A,-1947
DACController_0/un1_sclock_counter15_5:B,-2934
DACController_0/un1_sclock_counter15_5:C,439
DACController_0/un1_sclock_counter15_5:D,296
DACController_0/un1_sclock_counter15_5:Y,-2934
JTAG_0/next_TAP_state[7]:ADn,
JTAG_0/next_TAP_state[7]:ALn,
JTAG_0/next_TAP_state[7]:CLK,-1981
JTAG_0/next_TAP_state[7]:D,-717
JTAG_0/next_TAP_state[7]:EN,
JTAG_0/next_TAP_state[7]:LAT,
JTAG_0/next_TAP_state[7]:Q,-1981
JTAG_0/next_TAP_state[7]:SD,
JTAG_0/next_TAP_state[7]:SLn,
hptdc_event_reset_2_obuft/U0/U_IOOUTFF:A,
hptdc_event_reset_2_obuft/U0/U_IOOUTFF:Y,
DACController_0/sclock_counter[18]:ADn,
DACController_0/sclock_counter[18]:ALn,
DACController_0/sclock_counter[18]:CLK,-767
DACController_0/sclock_counter[18]:D,-457
DACController_0/sclock_counter[18]:EN,
DACController_0/sclock_counter[18]:LAT,
DACController_0/sclock_counter[18]:Q,-767
DACController_0/sclock_counter[18]:SD,
DACController_0/sclock_counter[18]:SLn,-2055
hptdc_trstn_2_obuf/U0/U_IOPAD:D,
hptdc_trstn_2_obuf/U0/U_IOPAD:E,
hptdc_trstn_2_obuf/U0/U_IOPAD:PAD,
hptdc_data_ready_2_ibuf/U0/U_IOINFF:A,
hptdc_data_ready_2_ibuf/U0/U_IOINFF:Y,
JTAG_2/tdo_pad_o10_1:A,-564
JTAG_2/tdo_pad_o10_1:B,-614
JTAG_2/tdo_pad_o10_1:Y,-614
hptdc_serial_bypass_in_2_obuft/U0/U_IOENFF:A,
hptdc_serial_bypass_in_2_obuft/U0/U_IOENFF:Y,
hptdc_event_reset_2_obuft/U0/U_IOPAD:D,
hptdc_event_reset_2_obuft/U0/U_IOPAD:E,
hptdc_event_reset_2_obuft/U0/U_IOPAD:PAD,
ccu25_data_0_obuft[0]/U0/U_IOOUTFF:A,
ccu25_data_0_obuft[0]/U0/U_IOOUTFF:Y,
BiasController_0/sclock_counter_s_800_CC_1:CC[0],-365
BiasController_0/sclock_counter_s_800_CC_1:CC[1],-457
BiasController_0/sclock_counter_s_800_CC_1:CC[2],-526
BiasController_0/sclock_counter_s_800_CC_1:CC[3],-420
BiasController_0/sclock_counter_s_800_CC_1:CI,-526
BiasController_0/sclock_counter_s_800_CC_1:P[0],-218
BiasController_0/sclock_counter_s_800_CC_1:P[10],
BiasController_0/sclock_counter_s_800_CC_1:P[11],
BiasController_0/sclock_counter_s_800_CC_1:P[1],
BiasController_0/sclock_counter_s_800_CC_1:P[2],
BiasController_0/sclock_counter_s_800_CC_1:P[3],
BiasController_0/sclock_counter_s_800_CC_1:P[4],
BiasController_0/sclock_counter_s_800_CC_1:P[5],
BiasController_0/sclock_counter_s_800_CC_1:P[6],
BiasController_0/sclock_counter_s_800_CC_1:P[7],
BiasController_0/sclock_counter_s_800_CC_1:P[8],
BiasController_0/sclock_counter_s_800_CC_1:P[9],
BiasController_0/sclock_counter_s_800_CC_1:UB[0],
BiasController_0/sclock_counter_s_800_CC_1:UB[10],
BiasController_0/sclock_counter_s_800_CC_1:UB[11],
BiasController_0/sclock_counter_s_800_CC_1:UB[1],
BiasController_0/sclock_counter_s_800_CC_1:UB[2],
BiasController_0/sclock_counter_s_800_CC_1:UB[3],
BiasController_0/sclock_counter_s_800_CC_1:UB[4],
BiasController_0/sclock_counter_s_800_CC_1:UB[5],
BiasController_0/sclock_counter_s_800_CC_1:UB[6],
BiasController_0/sclock_counter_s_800_CC_1:UB[7],
BiasController_0/sclock_counter_s_800_CC_1:UB[8],
BiasController_0/sclock_counter_s_800_CC_1:UB[9],
dac_din_3_obuf/U0/U_IOOUTFF:A,
dac_din_3_obuf/U0/U_IOOUTFF:Y,
DIN_3_obuf/U0/U_IOENFF:A,
DIN_3_obuf/U0/U_IOENFF:Y,
JTAG_2/next_TAP_state[1]:ADn,
JTAG_2/next_TAP_state[1]:ALn,
JTAG_2/next_TAP_state[1]:CLK,-1886
JTAG_2/next_TAP_state[1]:D,734
JTAG_2/next_TAP_state[1]:EN,
JTAG_2/next_TAP_state[1]:LAT,
JTAG_2/next_TAP_state[1]:Q,-1886
JTAG_2/next_TAP_state[1]:SD,
JTAG_2/next_TAP_state[1]:SLn,
JTAG_3/loop_counterc_0:A,-1916
JTAG_3/loop_counterc_0:B,609
JTAG_3/loop_counterc_0:C,-601
JTAG_3/loop_counterc_0:Y,-1916
JTAG_3/TAP_state_RNO[3]:A,726
JTAG_3/TAP_state_RNO[3]:B,636
JTAG_3/TAP_state_RNO[3]:C,-535
JTAG_3/TAP_state_RNO[3]:D,466
JTAG_3/TAP_state_RNO[3]:Y,-535
JTAG_0/next_TAP_state[5]:ADn,
JTAG_0/next_TAP_state[5]:ALn,
JTAG_0/next_TAP_state[5]:CLK,570
JTAG_0/next_TAP_state[5]:D,-384
JTAG_0/next_TAP_state[5]:EN,
JTAG_0/next_TAP_state[5]:LAT,
JTAG_0/next_TAP_state[5]:Q,570
JTAG_0/next_TAP_state[5]:SD,
JTAG_0/next_TAP_state[5]:SLn,
poh_data_3_obuf/U0/U_IOOUTFF:A,
poh_data_3_obuf/U0/U_IOOUTFF:Y,
hptdc_get_data_1_obuf/U0/U_IOPAD:D,
hptdc_get_data_1_obuf/U0/U_IOPAD:E,
hptdc_get_data_1_obuf/U0/U_IOPAD:PAD,
DACController_0/sclock_counter_cry[23]:A,
DACController_0/sclock_counter_cry[23]:B,-200
DACController_0/sclock_counter_cry[23]:C,
DACController_0/sclock_counter_cry[23]:CC,-429
DACController_0/sclock_counter_cry[23]:D,
DACController_0/sclock_counter_cry[23]:P,-200
